,Name,Rating,No. of Reviews,Type of Company
59,EXL Service,3.6,8.7k,Analytics & KPO 
60,Ericsson,3.9,8.5k,Telecom 
61,Samsung,3.9,8.4k,Consumer Electronics & Appliances 
62,Dr. Reddy's,4.0,8.3k,Pharma 
63,Optum Global Solutions,4.0,8.1k,IT Services & Consulting 
64,JSW Steel,3.9,8k,Iron & Steel 
65,JPMorgan Chase & Co.,3.8,7.9k,Financial Services 
66,Delhivery,3.8,7.9k,Logistics 
67,Coforge,3.3,7.9k,IT Services & Consulting 
68,ICICI Prudential Life Insurance,3.9,7.9k,Insurance 
69,Hexaware Technologies,3.4,7.8k,IT Services & Consulting 
70,Jana Small Finance Bank,3.7,7.7k,Banking 
71,Sun Pharmaceutical Industries,4.0,7.7k,Pharma 
72,Ujjivan Small Finance Bank,4.0,7.7k,Banking 
73,HGS,3.7,7.6k,Emerging Technologies 
74,Zydus Lifesciences,4.0,7.6k,Pharma 
75,Ekart Logistics,3.9,7.6k,Logistics 
76,Amazon Development Centre India,3.8,7.5k,Internet 
77,Lupin,4.1,7.4k,Pharma 
78,KPMG India,3.4,7.4k,Management Consulting 
79,Axis Max Life Insurance,4.0,7.3k,Insurance 
80,L&T Construction,4.0,7.3k,Engineering & Construction 
81,ITC,3.9,7.3k,FMCG 
82,Hindustan Unilever,4.2,7.2k,FMCG 
83,Megha Engineering & Infrastructures,3.9,7k,Engineering & Construction 
84,Tata Projects,4.2,6.9k,Engineering & Construction 
85,Cholamandalam Investment & Finance,3.8,6.8k,Financial Services 
86,Bajaj Life Insurance,3.8,6.7k,Insurance 
87,L&T Technology Services,3.1,6.7k,IT Services & Consulting 
88,FIS,3.8,6.6k,FinTech 
89,Oracle,3.3,6.6k,Software Product 
90,Omega Healthcare,3.8,6.5k,BPO 
91,JLL,4.1,6.5k,Real Estate 
92,Muthoot Finance,3.7,6.5k,NBFC 
93,IIFL Finance,4.0,6.4k,NBFC 
94,eClerx,3.1,6.4k,IT Services & Consulting 
95,Indian Army,4.7,6.3k,Defence & Aerospace 
96,DMart,3.9,6.2k,Retail 
97,Piramal Finance,4.2,6.2k,NBFC 
98,PolicyBazaar,3.7,6.2k,Internet 
99,Virtusa Consulting Services,3.7,6.2k,IT Services & Consulting 
100,HSBC Group,3.8,6.1k,Financial Services 
101,Indiamart Intermesh,3.5,6.1k,Internet 
102,HCL Group,3.5,6.1k,IT Services & Consulting 
103,SMFG India Credit,3.9,6k,NBFC 
104,Access Healthcare,3.7,6k,BPO 
105,BigBasket,3.9,5.9k,Internet 
106,Siemens,4.0,5.9k,Industrial Automation 
107,Manappuram Finance,3.9,5.9k,NBFC 
108,ICICI Lombard General Insurance Company,3.5,5.9k,Insurance 
109,Firstsource Solutions,3.5,5.9k,BPO 
110,GlobalLogic,3.5,5.8k,IT Services & Consulting 
111,Aurobindo Pharma,4.0,5.8k,Pharma 
112,Tata Capital,4.0,5.8k,NBFC 
113,Shapoorji Pallonji Group,4.1,5.8k,Engineering & Construction 
114,UST,3.7,5.8k,IT Services & Consulting 
115,Standard Chartered,3.6,5.7k,Banking 
116,Udaan,3.9,5.7k,Internet 
117,Mahindra Finance,3.9,5.7k,NBFC 
118,Apollo Hospitals,4.0,5.7k,Healthcare 
119,Swiggy,3.7,5.7k,Internet 
120,Bosch Global Software Technologies,3.7,5.7k,IT Services & Consulting 
121,Citicorp,3.6,5.6k,Financial Services 
122,Ashok Leyland,4.0,5.6k,Automobile 
123,Hero MotoCorp,4.1,5.5k,Automobile 
124,CGI Inc,4.0,5.5k,IT Services & Consulting 
125,SBI Cards & Payment Services,3.6,5.4k,Financial Services 
126,Cyient,3.6,5.4k,IT Services & Consulting 
127,NTT DATA,3.8,5.3k,IT Services & Consulting 
128,BNY,3.6,5.3k,Financial Services 
129,Kalpataru Projects International,4.2,5.3k,Engineering & Construction 
130,IQVIA,3.7,5.3k,Clinical Research 
131,Nagarjuna Construction Company,4.0,5.3k,Engineering & Construction 
132,Schneider Electric,4.1,5.2k,Industrial Automation 
133,SBI Life Insurance Company,3.7,5.2k,Insurance 
134,JustDial,3.5,5.2k,Internet 
135,CBRE,4.1,5.2k,Real Estate 
136,TVS Motor,3.8,5.2k,Automobile 
137,Persistent Systems,3.6,5.1k,IT Services & Consulting 
138,State Bank of India,3.8,5k,Banking 
139,KEC International,4.0,5k,Engineering & Construction 
140,ITC Infotech,3.8,5k,IT Services & Consulting 
141,Atos,3.8,5k,IT Services & Consulting 
